#,Name,MLBAMID,RazzballID,FangraphsID,NFBCID,Team,ESPN_POS,YAHOO_POS
4708,Liam Spence,687608,687608,sa3017289,,CHC,SS,SS
4709,Linbel Jimenez,808354,808354,sa3022024,,MIL,SP,SP
4710,Liover Peguero,678894,678894,24273,11096,PIT,2B/SS,2B/SS
4711,Lisandro Almonte,699226,699226,sa3015497,,ARI,SP,SP
4712,Lisandro Mejia,808371,808371,sa3021260,,TEX,SS,SS
4713,Lisandro Santos,670873,670873,sa945728,,NYY,RP,RP
4714,Lisbel Diaz,815464,815464,sa3022399,,SF,OF,OF
4715,Listher Sosa,683538,683538,sa3009725,,ARI,RP,RP
4716,Livan Soto,670869,670869,22471,10275,LAA,SS,SS
4717,Lizandro Espinoza,692371,692371,sa3015611,,STL,2B,2B
4718,Lizandro Rodriguez,691497,691497,sa3016094,,KC,2B,2B
4719,Lizardo Ruiz,684226,684226,sa3008930,,FA,SS,SS
4720,LJ Hatch,677928,677928,sa3005233,,FA,2B,2B
4721,LJ Talley,663544,663544,sa1169773,,TOR,2B,2B
4722,Ljay Newsome,664714,664714,19942,10720,SF,SP,SP
4723,Locke St. John,657766,657766,16850,,FA,RP,RP
4724,Logan Allen,673726,673726,sa1169956,,FA,OF,OF
4725,Logan Allen,671106,671106,27589,11412,CLE,SP,SP
4726,Logan Allen,663531,663531,18555,10276,SEA,RP,RP
4727,Logan Brown,682204,682204,sa3006938,10844,FA,C,C
4728,Logan Cerny,681488,681488,sa3017661,,HOU,OF,OF
4729,Logan Davidson,669722,669722,sa918676,10858,OAK,SS,SS
4730,Logan Driscoll,686482,686482,sa3009882,,TB,C,C
4731,Logan Forsythe,523253,7185,7185,7755,FA,2B,1B/2B
4732,Logan Gilbert,669302,669302,22250,10712,SEA,SP,SP
4733,Logan Gillaspie,670810,670810,22461,11380,BOS,RP,RP
4734,Logan Glass,687279,687279,sa3011614,,CHW,OF,OF
4735,Logan Gragg,685401,685401,sa3010306,,STL,SP,SP
4736,Logan Henderson,701656,701656,sa3020080,,MIL,SP,SP
4737,Logan Hofmann,671987,671987,sa3014852,,PIT,SP,SP
4738,Logan O’Hoppe,681351,681351,24729,11075,LAA,C,C
4739,Logan Porter,682515,682515,20626,,KC,1B,1B
4740,Logan Rinehart,686827,686827,sa3010255,,BAL,RP,RP
4741,Logan Salow,676601,676601,sa874231,,LAD,RP,RP
